Choice1,Choice2,Choice3,Choice4,Answer,Original,Interrogative,Declarative,Imperative
use it to bathe in,eat it to die quickly,freeze it to make ice cubes,ignite it to warm their body,3,"If someone wants to use a natural gas in order to assist something necessary, they can",What can someone do if they want to use natural gas to assist something necessary?,"If someone wants to use natural gas to assist something necessary, they can...",Identify how someone can utilize natural gas for something necessary.
poor conductor of heat,good conductor of heat,low flexibility,high flexibility,1,Which physical property is important to have in a material used in cookware?,What physical property is important for a material used in cookware to have?,A physical property that is important for a material used in cookware to have is...,Choose the important physical property for a material used in cookware.
cell wall,nucleus,chloroplast,mitochondrion,0,Which cell structure carries out a function for a cell that is similar to the function that bark carries out for a tree?,What cell structure carries out a function for a cell that is similar to the function that bark carries out for a tree?,The cell structure that carries out a function for a cell that is similar to the function that bark carries out for a tree is...,Identify the cell structure that performs a function for a cell similar to the function that bark performs for a tree.
learned,found,instinctive,given,2,Knowing what to do without ever being taught is known as,What is it called when you know what to do without ever being taught?,Knowing what to do without ever being taught is known as...,Choose the concept of knowing what to do instinctively without being taught.
warm lights that float,made out of nitrate,great balls of gas burning billions of miles away,lights in the sky,2,Stars are,What are stars?,Stars are...,Identify what stars are.
less,more,more electric,slower cars,0,Newer hybrid cars will have what effect on the gas usage in the world over time?,What effect will newer hybrid cars have on the world's gas usage over time?,Newer hybrid cars will likely have the effect of reducing the world's gas usage over time by...,Identify how newer hybrid cars will reduce global gas consumption over time.
decrease in weight,increase in weight,decrease in length,increase in length,3,What happens to metal railroad tracks during the heat of a summer day?,What happens to metal railroad tracks during the heat of a summer day?,"During the heat of a summer day, metal railroad tracks...",Identify what happens to metal railroad tracks during the heat of a summer day.
is released,is eaten,is born,is burned,0,Death begins for a leaf the second it,When does death begin for a leaf?,Death for a leaf begins when...,Identify when death begins for a leaf.
a noggin,in space,on the moon,on Jupiter,0,Where might you find a bug that has an incomplete metamorphosis,Where might you find a bug that has an incomplete metamorphosis?,You might find a bug that has an incomplete metamorphosis in environments such as...,Identify where a bug undergoing incomplete metamorphosis might be found.
gauge local rainfall amounts.,study the area's geological history.,predict the severity of earthquakes.,show the surface features of an area.,3,One of the functions of a topographic map is to,What is one of the functions of a topographic map?,One of the functions of a topographic map is to...,Choose one of the functions of a topographic map.
type of soil and salinity,nitrate levels and turbidity,human consumption and pH,natural disasters and tidal changes,1,Which factors can have the greatest effect on the health of a river system?,What factors can have the greatest effect on the health of a river system?,Factors that can have the greatest effect on the health of a river system include...,Identify the factors that can have the greatest effect on the health of a river system.
must remain dry to function,will dry out unless they are soaked in water,depend on abundance amounts of water vapor,need to be kept wet,0,High humidity can damage materials which,What can high humidity damage materials that need?,High humidity can damage materials that need...,Choose a characteristic of materials that can be damaged by high humidity.
gravel,sand,silt,clay,3,"Which of these particles, when found in soil, contributes most to the water retention in soil?",What particle found in soil contributes most to water retention?,The particle found in soil that contributes most to water retention is...,Identify the particle in soil that contributes most to water retention.
sand,lava,sucrose,water,2,What stimulants taste buds sour and,What stimulates taste buds to taste sour?,What stimulates taste buds to taste sour is...,Choose what stimulates taste buds to taste sour.
the lake to dry up.,algae to grow in the lake.,the lake to become deeper.,water in the lake to become solid.,1,Runoff from farms that use fertilizers is entering a small lake. This will most directly affect the lake by causing,How will runoff from farms that use fertilizers most directly affect a small lake?,Runoff from farms that use fertilizers is entering a small lake. This will most directly affect the lake by causing...,Identify how runoff from farms using fertilizers will most directly affect a small lake.
a brass sheet,a wool cap,a rubber duck,a plastic ball,0,"If a person wants to move heat quickly, they could use the sun's warmth. The best thing for absorbing it would be",What is the best thing for absorbing the sun's warmth if a person wants to move heat quickly?,"If a person wants to move heat quickly, they could use the sun's warmth. The best thing for absorbing it would be...",Choose the best material for absorbing the sun's warmth quickly for a person wanting to move heat.
acclimated,celebrated,hunted,destroyed,3,The building of a hotel caused many species to be,What was the effect on many species due to the building of a hotel?,The building of a hotel can cause many species to be...,Identify the effect on many species due to the construction of a hotel.
salt and oyster crackers,lettuce and roma tomato,coffee and hazelnut cream,whole milk and cheese,2,"If substances are combined by pouring them together, they'll mix, such as",Which substances combine by pouring them together?,"If substances are combined by pouring them together, they'll mix, such as",Choose which substances combine by pouring them together.
hydrochloric acid and sodium carbonate,"sodium chloride, carbon dioxide, and water",hydrogen chloride and sodium bicarbonate,"sodium chloride, carbon monoxide, and dihydrogen oxide",1,What are the names of the products in the chemical equation shown below? HCl + NaHCO_{3} -> NaCl + CO_{2} + H_{2}O,What are the names of the products in the given chemical equation? HCl + NaHCO_{3} -> NaCl + CO_{2} + H_{2}O,The names of the products in the chemical equation HCl + NaHCO_{3} -> NaCl + CO_{2} + H_{2}O are...,Identify the names of the products in the provided chemical equation. HCl + NaHCO_{3} -> NaCl + CO_{2} + H_{2}O
mad,old,alive,dead,2,"Humans are like monkeys in a lot of ways, besides sharing a lot of the same DNA, their babies are birthed",How are both human and monkey babies birthed?,Both human and monkey babies are birthed...,Choose how do both monkey and human babies are birthed.
Revise the solution.,Describe the problem.,Test the possible solutions.,Identify possible solutions.,1,Which is the first step in a design process?,What is the first step in a design process?,The first step in a design process is...,Identify the first step in a design process.
ice sculpture,glass of water,flowing rivers,water falls,0,Freezing point is best represented by,What is the freezing point best represented by?,The freezing point is best represented by...,Choose what best represents the freezing point.
it's a lame Turkish professor in a third rate Pennsylvanian college,it's covered in polar snow ice,it wants to make a Grizzly bear jealous,its parents had white fur,3,A polar bear is white because,Why is a polar bear white?,A polar bear is white because...,Identify why a polar bear is white.
organ system -> tissue -> cell -> organ,tissue -> cell -> organ -> organ system,organ -> organ system -> tissue -> cell,cell -> tissue -> organ -> organ system,3,Which sequence lists the levels of organization in the human body from simplest to most complex?,How are the levels of organization in the human body listed from simplest to most complex?,Levels of organization in the human body from simplest to most complex are...,Choose the levels of organization in the human body from simplest to most complex.
live longer,flourish,thrive,acquire characteristics,3,"If a bird lives in a dangerous place with fires and predators, a bird will likely",What will likely happen to a bird if it lives in a dangerous place with fires and predators?,"If a bird lives in a dangerous place with fires and predators, it will likely face...",Identify the likely outcomes for a bird living in a hazardous area with fires and predators.
photosynthesis,condensation,respiration,transpiration,3,Which process allows green plants to control the amount of water stored in their leaves?,How do green plants control the amount of water stored in their leaves?,Green plants control the amount of water stored in their leaves by...,Choose how green plants regulate the water content in their leaves.
something from space entered the atmosphere,a lizard built the hole,the moon's gravity pulled sand out of the hole,a dust storm filled it in,0,A 40 foot wide hole is found in the dessert. It's shaped like a ball had hit it. What could have happened?,What could have caused a 40 foot wide hole in the desert that is shaped like a ball had hit it?,A 40 foot wide hole in the desert that is shaped like a ball had hit it could have been caused by...,Identify potential cause for a 40-foot wide hole in the desert that appears as if it was created by the impact of a ball.
heightening,lessening,abundance,growth,1,"If a new predator begins eating prey, what will happen to the preys population?",What will happen to the prey's population if a new predator begins eating them?,"If a new predator begins eating them, the prey's population will likely...",Choose the impact on the prey's population if a new predator starts preying on them.
with the instinct,are too lazy,seventeen,without the instinct,3,The animals that never migrate never do so because they were born,Why do the animals that never migrate never do so?,The animals that never migrate never do so because they were born...,Identify the birth condition that explains why some animals never migrate.
guesses,opinions,arguments,observations,3,Which serve as evidence for a scientific theory?,What serves as evidence for a scientific theory?,Evidence for a scientific theory typically includes...,Choose what serves as evidence for a scientific theory.
cheetah,penguin,hippopotamus,snake,1,Fish are quickly caught in water because of the webbed feet possessed by a,Why are fish quickly caught in water?,Fish are quickly caught in water due to their...,Identify why fish are quickly caught in water.
crust,mantle,inner core,outer core,2,Which of the following Earth layers has the greatest density?,Which Earth layer has the greatest density?,The Earth layer that has the greatest density is...,Identify the Earth layer with the greatest density.
radiation.,conduction.,convection.,thermal expansion.,0,Energy from the Sun reaches Earth by,How does energy from the Sun reach Earth?,Energy from the Sun reaches Earth by...,Identify how energy from the Sun reaches Earth.
camouflage,hibernation,migration,movement,0,The fur of an arctic fox turns from brown to white as winter approaches. This is an example of,What is the turning of an arctic fox's fur from brown to white as winter approaches an example of?,The turning of an arctic fox's fur from brown to white as winter approaches is an example of...,Choose what the turning of an arctic fox's fur from brown to white as winter approaches exemplifies.
cartoons,forests,lunch,Christmas,3,"The earth has continents that experience different things at different times, depending on where on Earth's axis it is, such as",What do continents on Earth experience at different times depending on their position on Earth's axis?,"The earth has continents that experience different things at different times, depending on where on Earth's axis it is, such as...",Identify what continents on Earth experience at different times depending on their position on Earth's axis.
more living things,more life forms,more organisms,fewer living things,3,"An acre of arctic land, when compared to an acre of jungle land will have",How does an acre of arctic land compare to an acre of jungle land in terms of the number of living things?,"An acre of arctic land, when compared to an acre of jungle land will have...",Choose how the biodiversity of an acre of arctic land compares to that of an acre of jungle land.
Weathering,Climate,Weatherization,Weather,0,Even items such as rocks mass can be changed due to which process?,What process can change the mass of items such as rocks?,The process that can change the mass of items such as rocks is...,Identify the process that can change the mass of items such as rocks.
circulatory,digestive,respiratory,reproductive,1,Which of the following systems breaks food into nutrients that can be used by the body?,What does the system that breaks food into nutrients that can be used by the body do?,The system that breaks food into nutrients that can be used by the body...,Choose the system that breaks food into nutrients usable by the body.
The rocks and pebbles in riverbeds are not very old.,The rocks and pebbles rub against each other as water flows over them.,Rivers can only flow over smooth rocks and pebbles.,Organisms in the rivers break down the rocks and pebbles.,1,Why are the rocks and pebbles found on riverbeds usually smooth?,Why are the rocks and pebbles found on riverbeds usually smooth?,Rocks and pebbles found on riverbeds are usually smooth because...,Identify why rocks and pebbles found on riverbeds are usually smooth.
the area becomes damp,the surrounding land is underwater,the wind blows over trees,everything around burns down,1,"A storm rages for two weeks, and the rivers and lakes swell past their holding capacity, so",What happens when a storm rages for two weeks and the rivers and lakes swell past their holding capacity?,"When a storm rages for two weeks and the rivers and lakes swell past their holding capacity, it leads to...","Choose the effects of a two-week-long storm on rivers and lakes, especially when they swell beyond their holding capacity."
a bat flying at night,a deer drinking water,an owl eating a mouse,a squirrel storing nuts,3,Which animal is preparing for a seasonal change in the environment?,What is an animal doing to prepare for a seasonal change in the environment?,An animal that is adapting for a seasonal change in the environment is...,Identify which animal prepares for a seasonal change in the environment.
rotation of the sky,rotation of the sun,rotation of the earth,rotation of the person,2,Which of these could be a reason why the stars seem to be in a different place at dusk than at dawn?,Why do the stars seem to be in a different place at dusk than at dawn?,A reason why the stars seem to be in a different place at dusk than at dawn could be that...,Choose why the stars appear in different positions at dusk compared to dawn.
the Sun,Venus,the moon,the Earth,0,Which can be said to have the most volume?,Which has the most volume?,The most volume it's own by,Choose the element with the highest volume.
november,may,january,march,1,the solstice with the longest day happens in the month after,In which month does the solstice with the longest day happen?,The solstice with the longest day happens in the month after...,Choose in which month the solstice with the longest day occurs.
microscopic parts,short arms,viable organs,liver transplants,0,Nerves all have,What do all nerves have?,Nerves all have...,Identify what all nerves have.
oil,gas,fracking,windmills,3,Which would an ecologically minded individual most support?,What would an ecologically minded individual most likely support?,An ecologically minded individual would most support...,Choose actions an ecologically minded individual would most likely support.
face extinction,stagnate,grow,hibernate,0,As bad water increases in an environment the number of aquatic animals such as zooplankton will,What happens to the number of aquatic animals such as zooplankton as bad water increases in an environment?,As bad water increases in an environment the number of aquatic animals such as zooplankton will...,"Identify the effect of increasing bad water on the number of aquatic animals, such as zooplankton, in an environment."
a boy with a pen,a man with a stick,a man with a spoon,a man with a candle and match,3,who would see better through an underground tunnel?,Who would see better through an underground tunnel?,Through an underground tunnel the one would see better is...,Choose who would have better vision in an underground tunnel.
leaking oil from the oil platform might pollute the water,fishing from the oil platform might reduce the fish population,drilling in the ocean floor might reduce the water temperature,changing the ocean floor might increase the number of hurricanes,0,Offshore oil platforms affect ocean habitats. An ocean environment is most likely damaged by an offshore oil platform because,Why is an ocean environment most likely damaged by an offshore oil platform?,An ocean environment is most likely damaged by an offshore oil platform due to...,Identify why an offshore oil platform is likely to damage an ocean environment.
how loud a baby is,how wet an area got,how sad a puppy is,how bad a skunk smells,1,"After a storm, a glass vial with markings on it can tell",What can a glass vial with markings on it tell after a storm?,A glass vial with markings on it can indicate...,Choose what information a glass vial with markings on it can provide after a storm.
tv,AC unit,furnace,fridge,2,Many families survive the winter thanks to,What do many families rely on to survive the winter?,"To survive the winter, many families rely on...",Identify what many families rely on to survive the winter.
breathing,growing,planting,polluting,3,Which human activity most often has a harmful effect on the environment?,What human activity most often has a harmful effect on the environment?,Human activity that most often has a harmful effect on the environment includes...,Choose which human activity most often negatively impacts the environment.
potato,meat,milk,fruit,3,Which food provides the most energy for the body in the shortest amount of time?,What food provides the most energy for the body in the shortest amount of time?,Food that provides the most energy for the body in the shortest amount of time is...,Identify the food that provides the most energy for the body in the shortest amount of time.
tape measure,ruler,seismograph,geiger counter,2,when the earth's plates grind against each other it can be detected with a,What can detect when the earth's plates grind against each other?,The earth's plates grinding against each other can be detected by...,Choose what can detect when the earth's plates grind against each other.
javascript,intentions,guitar picks,thoughts,2,A scale can measure,What can a scale measure?,A scale can measure...,Identify what a scale can measure.
wear gloves while breaking rocks,wear goggles while breaking rocks,have a bucket of sand in case of sparks,have a clean eye-wash station available,1,Which of the following is the most important safety practice when using a rock hammer on a geology field trip?,What is the most important safety practice when using a rock hammer on a geology field trip?,"When using a rock hammer on a geology field trip, the most important safety practice is...",Choose the most important safety practice for using a rock hammer on a geology field trip.
Mercury and Venus are equally closest,the object the Earth orbits,the third planet from the Sun,the large object that illuminates a night sky,3,The celestial object closest to Earth is,What is the celestial object closest to Earth?,The celestial object closest to Earth is...,Identify the celestial object closest to Earth.
zero amounts of precipitation,equal amounts of precipitation,similar amounts of precipitation,different amounts of precipitation,3,An elephant on the plains and a diamondback in the desert will receive,What will an elephant on the plains and a diamondback in the desert receive in terms of precipitation?,"In terms of precipitation, an elephant on the plains and a diamondback in the desert will receive...",Choose the amount of precipitation an elephant on the plains and a diamondback in the desert will receive.
cook it in the oven,heat it with a torch,put it in the sun,use a heated plate,3,A way to keep a cup of coffee warm is to,What is a way to keep a cup of coffee warm?,A way to keep a cup of coffee warm is by...,Identify a method to maintain the warmth of a cup of coffee.
inside the original plant,beneath the original plant,away from the original plant,in the original plant,2,A seed is dispersed when it is,How is a seed dispersed?,A seed is dispersed when it is...,Choose how a seed is dispersed.
the moon,the ocean,orbiting satellites,the space station,1,The moon reflects sunlight to arrive at,What does the moon reflect sunlight to arrive at?,The moon reflects sunlight to arrive at...,Identify how the moon reflects sunlight to reach its destination.
symbiotic,producer,parasitic,predatory,3,A bird eating a lizard is an example of what type of relationship?,What type of relationship is exemplified by a bird eating a lizard?,The type of relationship exemplified by a bird eating a lizard is...,Choose the type of relationship exemplified by a bird eating a lizard.
gorge,refuse food,feed,eat food,1,An animal will become thicker if it does all aside from,What will an animal not do to become thicker?,"To become thicker, an animal will not...",Identify what an animal will not do to increase its thickness.
antennas,teeth,gills,sense organs,3,What does a beaver use to find something to munch on with?,What does a beaver use to find something to munch on?,"To find something to munch on with, a beaver use...",Choose how a beaver locates something to munch on.
an increase in primary consumer population,an decrease in acid rain,an decrease in size of habitat,an increase in producers,2,Which change would have the greatest negative impact on the survival of an owl species?,What change would have the greatest negative impact on the survival of an owl species?,The change that would have the greatest negative impact on the survival of an owl species is the...,Identify the change that would most negatively affect the survival of an owl species.
Meter stick and graduated cylinder,Stopwatch and meter stick,Balance and metric ruler,Balance and stopwatch,1,Which tools are best used to determine the speed of a turtle as it walks along a path?,What are the best tools to use to determine the speed of a turtle as it walks along a path?,"To determine the speed of a turtle as it walks along a path, the best tools are...",Choose the best tools for determining the speed of a turtle as it walks along a path.
affecting ocean tides.,helping in the absorption of groundwater.,determining the type of clouds formed.,changing water to a vapor.,3,Solar radiation has a part in the water cycle by,What role does solar radiation play in the water cycle?,Solar radiation plays a crucial role in the water cycle by...,Identify the role of solar radiation in the water cycle.
mittens,shorts,flip flops,a bathing suit,0,It's June in Australia so I should make sure to wear,What should I make sure to wear in Australia during June?,It's June in Australia so I should make sure to wear...,Choose on what to wear in Australia during June.
manipulates habitat,makes habitat nicer,helps them out,gives them money,0,Desalinating water from the ocean does what to nearby fish?,What does desalinating water from the ocean do to nearby fish?,Desalinating water from the ocean can affect nearby fish by...,Identify the effects of desalinating ocean water on nearby fish.
solid,liquid,gas,vacuum,3,Sound will not travel in a,In what will sound not travel?,Sound will not travel in a...,Choose the medium in which sound cannot travel.
a leaning tower,a balloon,a feather,a towel,0,"If this fell on you, you would probably die","Which one, if fallen on you, would probably kill you?","If this fell on you, you would probably die...","Identify the objects that, if fallen on you, would probably be lethal."
luck,glucose,magic,sand,1,Which of these allows humans to walk around?,What allows humans to walk around?,Humans are able to walk around due to...,Choose what enables humans to walk around.
Energy for cell processes is released.,Oxygen is released for photosynthesis.,Cells undergo decomposition.,Nutrients are excreted to prevent the buildup of body fat.,0,What is the result of cellular respiration?,What is the result of cellular respiration?,The result of cellular respiration is...,Identify the result of cellular respiration.
crocodile,tortoise,Komodo dragon,rattlesnake,1,A glacier moves like a,How does a glacier move?,A glacier moves like a...,Choose how a glacier moves.
use Styrofoam plates and bowls,use more paper towels,drive a car that guzzles gas,salvage plastic bottles instead of throwing them away,3,To have a positive impact of the environment,What should you do to have a positive impact on the environment?,To have a positive impact of the environment...,Identify actions one can take to have a positive impact on the environment.
balance,ruler,thermometer,graduated cylinder,3,Which tool is used to measure the volume of a liquid?,What tool is used to measure the volume of a liquid?,The tool used to measure the volume of a liquid is a...,Choose which tool is used to measure the volume of a liquid.
fuel,energy,matter,electricity,1,"Heat, light, and sound are all different forms of ___.","What are heat, light, and sound all different forms of?","Heat, light, and sound are all different forms of...","Identify how heat, light, and sound are related."
out competed,out lasted,out ran,out lived,0,"A pack of wolves eat the sheep before a grizzly bear can get to them, what have the wolves done to the bear?",What have the wolves done to the bear by eating the sheep before it could?,"By eating the sheep before the bear could, the wolves have...",Choose what the wolves have done to the bear by eating the sheep before it.
they could become overpopulated,their population could drop to the sum of negative two and two,they could all become sharks,they could mate with killer whales,1,If blue whales have trouble finding any mates,What could happen if blue whales have trouble finding any mates?,If blue whales have trouble finding any mates...,Identify the potential consequences of blue whales struggling to find mates.
an earthquake shaking the ground,sediment washing into a bay,a rainstorm weathering rock,water flowing in stream,0,Natural processes cause rapid and slow changes to Earth's surface. Which event causes changes to Earth's surface most rapidly?,Which natural process causes changes to Earth's surface most rapidly?,The event that causes changes to Earth's surface most rapidly is...,Identify the natural process that causes the most rapid changes to Earth's surface.
turn bitter,evaporate faster,slightly warm,become sweet,3,dissolving sugar in water will cause it to,What will dissolving sugar in water cause it to do?,Dissolving sugar in water will cause it to...,Identify what happens to water when sugar is dissolved in it.
crickets,mice,fish,weeds,3,a typical rabbit diet includes,What does a typical rabbit diet include?,A typical rabbit diet includes...,Choose the typical components of a rabbit's diet.
concrete,jelly,steam,a resource,3,"If a person restores a garden complete with oaks, then they have replaced",What have they replaced if a person restores a garden complete with oaks?,"If a person restores a garden complete with oaks, then they have replaced...",Identify what has been replaced if a person has restored a garden to include oaks.
light-year,angstrom unit,astronomical unit,apparent magnitude,0,What unit do scientists use to measure the distance between stars?,What unit do scientists use to measure the distance between stars?,"To measure the distance between stars, scientists use...",Choose which unit scientists use to measure the distance between stars.
The Moon is not solid.,The Moon has no gravity.,The Moon has almost no atmosphere.,The Moon receives almost no solar light.,2,Which of the following statements best describes one way that the Moon is different from Earth?,How is the Moon different from Earth?,The statement that best describes one way that the Moon is different from Earth is...,Identify the statement that best describe a difference between the Moon and Earth.
toxic,endangered,reuseable,shorter,2,Pines will continue to grow making them,What do pines become as they continue to grow?,"Pines, as they continue to grow, become...",Choose what pines become as they continue to grow.
